id, filename, description, link
0, salary/dataset.csv, A simple salary dataset used for prototyping, https://www.kaggle.com/datasets/abhishek14398/salary-dataset-simple-linear-regression
1, simple.csv, blah, https://www.kaggle.com/datasets/andonians/random-linear-regression
